Rk,Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPG,PPG,RPG,APG
67,Jérôme Moïso,2000,1,11,2001,2005,145,1392,158,323,0,3,70,118,126,395,38,45,68,104,183,386,.489,.000,.593,9.6,2.7,2.7,0.3
68,Shabazz Muhammad,2013,1,14,2014,2018,278,4772,940,1988,123,386,501,667,294,770,151,81,24,183,283,2504,.473,.319,.751,17.2,9.0,2.8,0.5
69,Tracy Murray,1992,1,18,1993,2004,659,12103,2181,5070,753,1942,828,999,505,1649,508,361,161,603,1099,5943,.430,.388,.829,18.4,9.0,2.5,0.8
70,Swen Nater,1973,1,16,1974,1984,722,20746,3714,6939,1,10,1551,2074,2422,8340,1235,364,427,1537,2193,8980,.535,,.748,28.7,12.4,11.6,1.7
71,Willie Naulls,1956,2,10,1957,1966,716,20620,4526,11145,,,2253,2774,,6508,1114,,,,2216,11305,.406,,.812,28.8,15.8,9.1,1.6
72,Charles O'Bannon,1997,2,32,1998,1999,48,399,50,125,0,4,20,23,32,67,29,11,4,17,37,120,.400,.000,.870,8.3,2.5,1.4,0.6
73,Ed O'Bannon,1995,1,9,1996,1997,128,2062,249,679,28,126,108,143,115,316,102,73,23,82,192,634,.367,.222,.755,16.1,5.0,2.5,0.8
74,Keith Owens,,,,1992,1992,20,80,9,32,0,0,8,10,8,15,3,5,4,2,11,26,.281,,.800,4.0,1.3,0.8,0.2
75,Steve Patterson,1970 1971,8 2,129 18,1972,1976,350,5582,672,1667,,,208,350,415,1632,443,85,94,,573,1552,.403,,.594,15.9,4.4,4.7,1.3
76,Richard Petruška,1993,2,46,1994,1994,22,92,20,46,7,15,6,8,9,31,1,2,3,15,15,53,.435,.467,.750,4.2,2.4,1.4,0.0
77,Norman Powell,2015,2,46,2016,2023,477,10864,1989,4280,712,1834,1014,1228,181,1248,723,385,130,591,879,5704,.465,.388,.826,22.8,12.0,2.6,1.5
78,Pooh Richardson,1989,1,10,1990,1999,639,19399,3046,6867,358,1087,633,971,435,1807,4180,817,111,1165,1129,7083,.444,.329,.652,30.4,11.1,2.8,6.5
79,Curtis Rowe,1971,1,11,1972,1979,590,18277,2821,5847,,,1231,1756,913,4264,932,199,193,164,1352,6873,.482,,.701,31.0,11.6,7.2,1.6
80,Mike Sanders,1982,4,74,1983,1993,648,12391,2167,4499,19,86,809,1052,680,1927,880,464,206,731,1675,5162,.482,.221,.769,19.1,8.0,3.0,1.4
81,Alan Sawyer,1950,3,29,1951,1951,33,,87,235,,,43,50,,121,25,,,,75,217,.370,,.860,,6.6,3.7,0.8
82,Lynn Shackelford,1969,7,91,1970,1970,22,183,22,72,4,13,10,13,11,27,11,,,9,34,58,.306,.308,.769,8.3,2.6,1.2,0.5
83,Dijon Thompson,2005,2,54,2006,2007,16,93,17,40,4,13,7,8,7,19,3,3,1,3,8,45,.425,.308,.875,5.8,2.8,1.2,0.2
84,Raymond Townsend,1978,1,22,1979,1982,154,2025,309,751,6,35,121,172,46,157,217,90,10,122,201,745,.411,,.703,13.1,4.8,1.0,1.4
85,John Vallely,1970,1,14,1971,1972,100,796,142,375,,,75,104,,66,84,,,,100,359,.379,,.721,8.0,3.6,0.7,0.8
